City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,mehamn,71.0357,27.8492,284.12,76,80,4.63,NO,1691278013
155,luang prabang,19.8856,102.1347,295.65,100,100,1.11,LA,1691277880
156,talnakh,69.4865,88.3972,289.38,51,5,0.57,RU,1691277871
157,mandalgovi,45.7625,106.2708,291.14,73,2,0.78,MN,1691278014
158,houma,29.5958,-90.7195,309.26,62,6,1.79,US,1691277984
159,port hedland,-20.3167,118.5667,297.18,35,100,3.6,AU,1691278014
160,namibe,-15.1961,12.1522,291.45,83,0,0.96,AO,1691278015
161,pisco,-13.7,-76.2167,293.18,73,0,7.2,PE,1691277864
162,upernavik,72.7868,-56.1549,279.43,66,98,3.88,GL,1691277971
163,montgomery,39.1501,-77.1997,302.36,69,20,0.0,US,1691277836
164,okato,-39.2,173.8833,282.97,73,95,2.04,NZ,1691278015
165,hirara,24.8,125.2833,301.3,89,75,7.72,JP,1691278016
166,mar del plata,-38.0023,-57.5575,284.79,72,0,3.09,AR,1691277763
167,hasaki,35.7333,140.8333,304.42,82,0,5.28,JP,1691278016
168,constitucion,-35.3333,-72.4167,285.08,84,100,4.26,CL,1691278017
169,port blair,11.6667,92.75,301.17,83,40,2.57,IN,1691278017
170,del rio,29.3627,-100.8968,315.21,20,0,9.83,US,1691278017
171,santa flavia,38.085,13.5351,298.0,62,6,4.37,IT,1691278017
172,san cristobal,7.7669,-72.225,301.25,79,44,2.3,VE,1691278018
173,parrita,9.5201,-84.3225,302.59,70,30,1.88,CR,1691278018
174,high level,58.5169,-117.136,299.21,38,75,0.0,CA,1691278018
175,thompson,55.7435,-97.8558,292.24,82,75,3.6,CA,1691278018
176,tura,25.5198,90.2201,297.27,99,100,0.89,IN,1691278019
177,quatre cocos,-20.2078,57.7625,295.21,67,32,8.51,MU,1691278019
178,bud,39.447,-86.1758,301.18,74,86,4.46,US,1691278019
179,buraydah,26.326,43.975,304.4,13,1,4.12,SA,1691278019
180,sitka,57.0531,-135.33,294.09,64,100,2.57,US,1691278019
